Provincia,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
ENTRE RIOS,Estación Yeruá,False,False,False,False,True,False,True,False,False
ENTRE RIOS,Estación Yuquerí,False,False,False,False,False,False,False,False,False
ENTRE RIOS,Estancia Grande,False,False,False,False,True,False,False,False,False
ENTRE RIOS,La Criolla,False,False,False,True,True,True,True,True,False
ENTRE RIOS,Las Tejas,False,False,False,False,True,True,False,False,False
ENTRE RIOS,Los Charrúas,False,False,False,False,True,True,True,True,False
ENTRE RIOS,Nueva Escocia,False,False,False,False,True,False,False,False,False
ENTRE RIOS,Osvaldo Magnasco,False,False,False,False,True,False,True,False,False
ENTRE RIOS,Pedernal,False,False,False,False,True,False,False,True,False
ENTRE RIOS,Puerto Yeruá,False,False,False,False,True,False,True,False,False
ENTRE RIOS,Villa Adela,False,False,False,False,True,True,False,False,False
ENTRE RIOS,VILLA ZORRAQUIN,False,False,False,False,True,True,False,False,False
BUENOS AIRES,11 De Septiembre,True,True,False,True,True,True,True,False,True
BUENOS AIRES,Caseros,True,True,False,True,True,True,True,True,False
BUENOS AIRES,Churruca,True,True,False,True,True,True,True,False,False
BUENOS AIRES,Ciudad Jardín Lomas del Palomar,True,True,False,True,True,True,True,False,False
BUENOS AIRES,Ciudadela,True,True,True,True,True,True,True,True,True
BUENOS AIRES,El Libertador,True,True,False,False,True,True,True,False,False
BUENOS AIRES,Jose Ingenieros,True,True,False,True,True,True,True,True,False
CORDOBA,El Pueblito,False,False,False,False,False,False,False,False,False
CORDOBA,El Valle,False,False,False,False,False,False,False,False,False
CORDOBA,La Paz,False,False,False,False,True,True,True,True,True
CORDOBA,La Población,False,False,False,False,False,False,False,True,False
CORDOBA,La Ramada,False,False,False,False,False,False,False,True,False
CORDOBA,La Travesía,False,False,False,False,False,False,False,True,False
CORDOBA,Las Chacras,False,False,False,True,False,False,False,False,False
CORDOBA,Las Tapias,False,False,False,False,True,True,False,True,False
CORDOBA,Loma Bola,False,False,False,False,False,False,False,True,False
CORDOBA,Los Cerrillos,False,False,False,False,True,True,True,True,False
CORDOBA,Los Hornillos,True,False,False,False,True,True,True,True,False
CORDOBA,Los Molles,False,False,False,False,False,False,False,True,False
CORDOBA,Los Romeros,False,False,False,False,False,False,False,True,False
CORDOBA,Luyaba,False,False,False,False,True,False,True,True,False
CORDOBA,Quebracho Ladeado,False,False,False,False,False,False,False,True,False
CORDOBA,Quebrada de los Pozos,False,False,False,False,False,False,False,True,True
CORDOBA,San Javier y Yacanto,False,False,False,False,True,True,True,True,False
CORDOBA,San José,False,False,False,False,True,True,True,True,False
LA RIOJA,Colonia Anguinán,False,True,False,True,False,False,True,True,False
LA RIOJA,Colonia Catinzaco,False,False,False,False,False,False,False,False,False
LA RIOJA,Colonia Malligasta,False,False,False,False,False,False,False,False,False
LA RIOJA,Colonia Vichigasta,False,False,False,False,False,False,False,False,True
LA RIOJA,Guanchín,False,False,False,False,False,False,False,True,False
LA RIOJA,La Puntilla,False,False,False,False,False,False,False,False,False
LA RIOJA,Los Sarmientos,False,False,False,False,True,False,False,False,False
LA RIOJA,Malligasta,False,False,False,False,False,False,True,True,False
LA RIOJA,Miranda,False,False,False,False,False,False,True,False,False
LA RIOJA,Nonogasta,True,True,False,True,True,True,True,True,True
LA RIOJA,San Miguel,False,False,False,False,False,False,False,False,False
LA RIOJA,San Nicolás,False,False,False,False,False,False,False,True,False
LA RIOJA,Santa Florentina,False,False,False,False,False,False,False,True,False
LA RIOJA,Sañogasta,False,False,False,False,True,True,True,True,False
LA RIOJA,Tilimuqui,False,False,False,False,False,False,False,True,False
LA RIOJA,Vichigasta,True,False,False,True,True,True,True,True,True
LA RIOJA,Aicuña,False,False,False,False,False,False,False,True,False
LA RIOJA,Guandacol,False,True,False,True,True,False,True,False,True
LA RIOJA,Los Palacios,False,False,False,False,True,False,False,True,False
NEUQUEN,Mariano Moreno,True,False,True,False,False,False,True,True,True
NEUQUEN,Ramon M. Castro,False,False,False,False,True,False,False,False,False
NEUQUEN,Zapala,True,False,True,True,True,True,True,True,True
RIO NEGRO,Aguada de Guerra,False,False,False,False,False,False,False,True,False
RIO NEGRO,Clemente Onelli,False,False,False,True,False,False,False,False,False
RIO NEGRO,Colan Conhue,False,False,False,False,False,False,True,False,True
RIO NEGRO,El Caín,False,False,False,False,False,False,True,False,True
RIO NEGRO,Ingeniero Jacobacci,True,False,True,True,True,True,True,True,True
RIO NEGRO,Los Menucos,False,False,False,False,True,False,False,True,True
RIO NEGRO,Maquinchao,False,False,False,False,True,False,True,True,True
RIO NEGRO,Mina Santa Teresita,False,False,False,False,False,False,False,False,False
RIO NEGRO,Pilquiniyeu,False,False,False,False,False,False,False,False,True
RIO NEGRO,Comicó,False,False,False,False,False,False,False,False,True
RIO NEGRO,Cona Niyeu,False,False,False,False,False,False,True,False,True
RIO NEGRO,Ministro Ramos Mexía,False,False,False,True,False,False,False,True,True
RIO NEGRO,Prahuaniyeu,False,False,False,False,False,False,True,False,True
RIO NEGRO,Sierra Colorada,False,False,False,True,True,False,False,True,True
RIO NEGRO,Treneta,False,False,False,False,False,False,False,True,False
RIO NEGRO,Yaminué,False,False,False,False,False,False,False,True,False
RIO NEGRO,Bahía Creek,False,False,False,False,False,False,False,False,False
RIO NEGRO,El Cóndor,False,False,False,False,True,True,True,True,False
RIO NEGRO,El Juncal,False,False,False,False,False,False,False,False,False
RIO NEGRO,Guardia Mitre,False,False,False,False,True,False,True,True,True
RIO NEGRO,La Lobería,False,False,False,False,False,False,False,False,False
RIO NEGRO,Loteo Costa de Río,False,False,False,False,False,False,False,False,False
RIO NEGRO,Pozo Salado,False,False,False,False,False,False,False,False,False
RIO NEGRO,San Javier,False,False,False,False,False,False,True,True,True
RIO NEGRO,Viedma,True,True,True,True,True,True,True,True,True
RIO NEGRO,Barrio Unión,False,False,False,False,False,False,False,False,False
RIO NEGRO,Chelforó,False,False,False,False,False,False,False,False,False
RIO NEGRO,Chimpay,False,False,False,True,True,True,False,False,True
RIO NEGRO,Choele Choel,True,True,True,True,True,True,True,True,True
RIO NEGRO,Coronel Belisle,False,False,False,True,True,True,True,True,True
SAN LUIS,Quines,False,False,False,False,True,False,False,True,True
